epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1068.88,0.65347,0.61459,1.94796,0.94779,0.90771,0.94293,0.80693,0.66439,0.70238,2.3763,0.0011684,0.0011684,0.0011684
44,1097.86,0.66067,0.56743,1.76908,0.90791,0.93,0.95415,0.81948,0.67399,0.64389,2.4619,0.0011486,0.0011486,0.0011486
45,1125.26,0.63387,0.52757,1.82337,0.90888,0.93,0.95442,0.8302,0.67019,0.64104,2.40847,0.0011288,0.0011288,0.0011288
46,1152.4,0.64995,0.5386,1.93237,0.93748,0.89967,0.95399,0.82075,0.72158,0.64772,2.12206,0.001109,0.001109,0.001109
47,1179.13,0.69097,0.59941,1.72291,0.93744,0.89901,0.95229,0.82133,0.70651,0.64746,1.94727,0.0010892,0.0010892,0.0010892
48,1208.31,0.63608,0.55749,1.87515,0.92996,0.93,0.94947,0.81975,0.65401,0.66796,1.98762,0.0010694,0.0010694,0.0010694
49,1241.41,0.63242,0.56591,1.7401,0.94654,0.9,0.94916,0.83509,0.65398,0.65296,1.99747,0.0010496,0.0010496,0.0010496
50,1270.73,0.65674,0.57838,1.62659,0.96728,0.8868,0.94207,0.81283,0.66117,0.66161,2.1319,0.0010298,0.0010298,0.0010298
51,1298.91,0.6617,0.57061,1.72443,0.96577,0.88,0.93638,0.81601,0.64438,0.69013,2.17743,0.00101,0.00101,0.00101
52,1328.83,0.68446,0.56671,1.83009,0.93649,0.9,0.93471,0.80382,0.651,0.67622,2.32987,0.0009902,0.0009902,0.0009902
53,1358.57,0.6401,0.5471,1.66731,0.95255,0.89,0.94094,0.81717,0.62948,0.6441,2.26666,0.0009704,0.0009704,0.0009704
54,1391.35,0.62355,0.53671,1.77341,0.94442,0.9,0.95157,0.83111,0.61216,0.6316,2.09594,0.0009506,0.0009506,0.0009506
55,1418.98,0.62117,0.6178,1.62085,0.92922,0.91902,0.96011,0.82866,0.62023,0.62259,1.97114,0.0009308,0.0009308,0.0009308
56,1453.15,0.67285,0.54309,1.65111,0.92748,0.94,0.96691,0.8408,0.6226,0.60008,1.91872,0.000911,0.000911,0.000911
57,1485.39,0.62703,0.54011,1.73473,0.9666,0.9,0.96819,0.84243,0.6207,0.60638,1.89005,0.0008912,0.0008912,0.0008912
